STATION,DATE,PRCP,TAVG,TMAX,TMIN
GR000016716,10/4/1955,0,,26,14.8
GR000016716,10/5/1955,0,,26.8,15.6
GR000016716,10/6/1955,0,,26.7,15
GR000016716,10/7/1955,17.8,,24.6,17
GR000016716,10/8/1955,40.5,,23.8,17.8
GR000016716,10/9/1955,8.1,,21,15.8
GR000016716,10/10/1955,42.7,,25.4,15.5
GR000016716,10/11/1955,0.8,,24.3,15
GR000016716,10/12/1955,14.3,,25.3,14.5
GR000016716,10/13/1955,14.7,,22.8,15
GR000016716,10/14/1955,39,,22.9,15
GR000016716,10/15/1955,0.8,,23.6,14.2
GR000016716,10/16/1955,0,,24,13.6
GR000016716,10/17/1955,0,,25.8,13.6
GR000016716,10/18/1955,0,,25.9,15
GR000016716,10/19/1955,0,,27.5,21
GR000016716,10/20/1955,0,,28.8,17.7
GR000016716,10/21/1955,0,,28.4,17
GR000016716,10/22/1955,0,,25.9,17.2
GR000016716,10/23/1955,0,,27.8,16.2
GR000016716,10/24/1955,0,,27,15.4
GR000016716,10/25/1955,0,,27,18.5
GR000016716,10/26/1955,0,,24.3,16
GR000016716,10/27/1955,3.8,,20.6,14.2
GR000016716,10/28/1955,0,,23,11.7
GR000016716,10/29/1955,0,,24.7,12
GR000016716,10/30/1955,0,,25,18
GR000016716,10/31/1955,4.8,,23.3,17.2
GR000016716,11/1/1955,0,,27,18
GR000016716,11/2/1955,0,,26,17
GR000016716,11/3/1955,14.4,,21.4,15.6
GR000016716,11/4/1955,2.1,,19.3,15.5
GR000016716,11/5/1955,0,,22,14.3
GR000016716,11/6/1955,0,,22.8,16.4
GR000016716,11/7/1955,0,,20.7,14
GR000016716,11/8/1955,0,,19.2,13.6
GR000016716,11/9/1955,0,,19.5,10.6
GR000016716,11/10/1955,0,,19,13.2
GR000016716,11/11/1955,0,,19.9,11.5
GR000016716,11/12/1955,0,,18.8,13.5
GR000016716,11/13/1955,0,,20.4,12.5
GR000016716,11/14/1955,0,,21.2,12.9
GR000016716,11/15/1955,11.8,,22.4,14
GR000016716,11/16/1955,4.8,,21.2,15.2
GR000016716,11/17/1955,22.3,,19.1,12
GR000016716,11/18/1955,25.8,,23.7,13
GR000016716,11/19/1955,0,,22.4,11.5
GR000016716,11/20/1955,0,,16.3,13.4
GR000016716,11/21/1955,0.4,,19.8,13.2
GR000016716,11/22/1955,0,,16.4,8.6
GR000016716,11/23/1955,0.4,,13.7,6.5
GR000016716,11/24/1955,0,,19.2,7.4
GR000016716,11/25/1955,3,,23,14
GR000016716,11/26/1955,0.8,,17.3,10.5
GR000016716,11/27/1955,0,,11,7.5
GR000016716,11/28/1955,0,,11.8,5.5
GR000016716,11/29/1955,0,,14,3.6
GR000016716,11/30/1955,0,,13.2,7.3
GR000016716,12/1/1955,0,,12.9,8.2
GR000016716,12/2/1955,0,,17,5.6
GR000016716,12/3/1955,0,,18,4.6
GR000016716,12/4/1955,0,,19.2,5.6
GR000016716,12/5/1955,0,,16.7,8
GR000016716,12/6/1955,0,,11.7,7.4
GR000016716,12/7/1955,0,,17.3,3.2
GR000016716,12/8/1955,0,,20.2,5.5
GR000016716,12/9/1955,0,,20.3,8.3
GR000016716,12/10/1955,0,,15.8,8
GR000016716,12/11/1955,0,,19.4,9
GR000016716,12/12/1955,0,,21.5,10.7
GR000016716,12/13/1955,0,,19.2,9.4
GR000016716,12/14/1955,0,,15,9
GR000016716,12/15/1955,0.3,,16.8,9.5
GR000016716,12/16/1955,0,,19.1,13.3
GR000016716,12/17/1955,0,,21.4,14.2
GR000016716,12/18/1955,0,,22.3,11.2
GR000016716,12/19/1955,0,,21.3,9.7
GR000016716,12/20/1955,0,,18.5,14.6
GR000016716,12/21/1955,0,,20.7,14.6
GR000016716,12/22/1955,0,,18.2,10
GR000016716,12/23/1955,3.5,,18.5,11.2
GR000016716,12/24/1955,0,,17,11.5
GR000016716,12/25/1955,0,,14,10
GR000016716,12/26/1955,0,,14.2,9
GR000016716,12/27/1955,0,,11.6,8.8
GR000016716,12/28/1955,1.4,,9.8,7.3
GR000016716,12/29/1955,0,,10.4,7.4
GR000016716,12/30/1955,0,,16.3,2.2
GR000016716,12/31/1955,0,,21.3,6.3
GR000016716,1/1/1956,0,,18.5,14.2
GR000016716,1/2/1956,0,,17.5,11.5
GR000016716,1/3/1956,0,,16.6,7.7
GR000016716,1/4/1956,0,,14.8,8.5
GR000016716,1/5/1956,0,,11,6.2
GR000016716,1/6/1956,0,,9,5.3
GR000016716,1/7/1956,2.6,,10.8,7.5
GR000016716,1/8/1956,0,,15,5.7
GR000016716,1/9/1956,0,,14.8,5.8
GR000016716,1/10/1956,5.5,,12.4,5
GR000016716,1/11/1956,0,,15.9,8.5
GR000016716,1/12/1956,0,,16.8,5.4
GR000016716,1/13/1956,0,,18,4.5
GR000016716,1/14/1956,0,,18.3,5.8
GR000016716,1/15/1956,0,,15.7,4.2
GR000016716,1/16/1956,0,,17,4.2
GR000016716,1/17/1956,0,,17.8,9.4
GR000016716,1/18/1956,0,,19,9.4
GR000016716,1/19/1956,0,,20,11.1
GR000016716,1/20/1956,0,,19.5,15.2
GR000016716,1/21/1956,0,,19.8,8.4
GR000016716,1/22/1956,0,,17.9,8.5
GR000016716,1/23/1956,0,,20.6,8.7
GR000016716,1/24/1956,0,,19.9,7
GR000016716,1/25/1956,0,,18.3,9.4
GR000016716,1/26/1956,4.4,,15.4,7.2
GR000016716,1/27/1956,0,,8.2,3.5
GR000016716,1/28/1956,0,,8.5,3.2
GR000016716,1/29/1956,3.2,,6.9,2.8
GR000016716,1/30/1956,0,,8.6,-0.8
GR000016716,1/31/1956,2.5,,11,4.4
GR000016716,2/1/1956,7.8,,17.3,5
GR000016716,2/2/1956,5.6,,15,7.4
GR000016716,2/3/1956,6.7,,15,4
GR000016716,2/4/1956,0,,5.9,2.6
GR000016716,2/5/1956,0,,5.7,2.8
GR000016716,2/6/1956,0,,3.7,1.5
GR000016716,2/7/1956,0,,5.1,0.4
GR000016716,2/8/1956,2.2,,4.7,-0.4
GR000016716,2/9/1956,0,,9.7,-2.2
GR000016716,2/10/1956,1.2,,14.2,3.5
GR000016716,2/11/1956,0,,15.6,9.3
GR000016716,2/12/1956,0,,17.6,13.5
GR000016716,2/13/1956,0.8,,17.8,13.3
GR000016716,2/14/1956,0,,16.1,10.1
GR000016716,2/15/1956,0,,16,9
GR000016716,2/16/1956,0,,16,5.5
GR000016716,2/17/1956,1.3,,15,9.4
GR000016716,2/18/1956,5.2,,16.3,9.9
GR000016716,2/19/1956,16,,18,11.6
GR000016716,2/20/1956,0.1,,17.6,7
GR000016716,2/21/1956,0,,17.6,6.2
GR000016716,2/22/1956,0,,16.4,5.3
GR000016716,2/23/1956,0,,16.8,3.8
GR000016716,2/24/1956,0,,18,5.3
GR000016716,2/25/1956,0,,17,7.3
GR000016716,2/26/1956,0,,18.7,11.9
GR000016716,2/27/1956,0,,15.8,9.2
GR000016716,2/28/1956,0,,13.4,8.2
GR000016716,2/29/1956,6.8,,15,3.7
GR000016716,3/1/1956,0.5,,13.8,6.2
GR000016716,3/2/1956,0,,11.6,4.6
GR000016716,3/3/1956,0,,16.4,3.5
GR000016716,3/4/1956,0,,20.8,7.8
GR000016716,3/5/1956,0,,18.8,9
GR000016716,3/6/1956,3.5,,15.6,7
GR000016716,3/7/1956,0,,11.8,4.7
GR000016716,3/8/1956,0,,13.8,3.3
GR000016716,3/9/1956,6.1,,11.1,3
GR000016716,3/10/1956,0,,9.8,1.3
GR000016716,3/11/1956,0,,12,0.5
GR000016716,3/12/1956,2.3,,15.2,5.4
GR000016716,3/13/1956,9.8,,14.6,9.6
GR000016716,3/14/1956,11.5,,14.8,7.4
GR000016716,3/15/1956,0,,13.6,6.6
GR000016716,3/16/1956,0,,14.6,3.3
GR000016716,3/17/1956,0,,11.4,8.2
GR000016716,3/18/1956,0,,10.2,6
GR000016716,3/19/1956,0,,10.1,4.2
GR000016716,3/20/1956,0,,12.7,3.7
GR000016716,3/21/1956,0,,11.2,6.5
GR000016716,3/22/1956,0,,11,6
GR000016716,3/23/1956,0,,13.3,3.5
GR000016716,3/24/1956,2.8,,13,6.1
GR000016716,3/25/1956,1.7,,11.8,6.6
GR000016716,3/26/1956,3.6,,10.1,6
GR000016716,3/27/1956,18.5,,12.4,5.5
GR000016716,3/28/1956,0,,10.4,6.6
GR000016716,3/29/1956,0,,12,5.2
GR000016716,3/30/1956,0,,14.2,1.5
GR000016716,3/31/1956,0,,14.7,4.7
GR000016716,4/1/1956,0,,16.6,7.8
GR000016716,4/2/1956,0,,20,8
GR000016716,4/3/1956,0,,19.9,8.1
GR000016716,4/4/1956,11.8,,16,8.4
GR000016716,4/5/1956,0,,16.7,6.5
GR000016716,4/6/1956,0,,19.7,13.6
GR000016716,4/7/1956,0,,19.1,12.4
GR000016716,4/8/1956,0,,14.7,10.6
GR000016716,4/9/1956,0,,12,4.5
GR000016716,4/10/1956,0,,15,2.2
GR000016716,4/11/1956,0,,18,6.2
GR000016716,4/12/1956,0,,18.7,7.7
GR000016716,4/13/1956,0,,18.8,8
GR000016716,4/14/1956,0,,18.5,9
GR000016716,4/15/1956,0,,18.6,8.4
GR000016716,4/16/1956,0,,19,9.7
GR000016716,4/17/1956,0,,18.7,8.3
GR000016716,4/18/1956,0,,20,11.5
GR000016716,4/19/1956,0,,19.8,12.5
GR000016716,4/20/1956,0,,23.2,11
GR000016716,4/21/1956,0,,23.8,11.7
GR000016716,4/22/1956,0,,22.3,11.5
GR000016716,4/23/1956,0,,23.9,14.9
GR000016716,4/24/1956,0,,26.2,14.4
GR000016716,4/25/1956,0,,23.4,17
GR000016716,4/26/1956,0,,22.6,12.2
GR000016716,4/27/1956,0,,22.2,13.2
GR000016716,4/28/1956,0,,23.9,15.9
GR000016716,4/29/1956,0,,23.2,13.2
GR000016716,4/30/1956,0,,22,13.8
GR000016716,5/1/1956,0.4,,20.2,14.8
GR000016716,5/2/1956,0,,20,14.8
GR000016716,5/3/1956,6.7,,17.2,12.2
GR000016716,5/4/1956,13.2,,20,10
GR000016716,5/5/1956,0,,20.8,9.8
GR000016716,5/6/1956,0,,21.8,12.7
GR000016716,5/7/1956,0,,24.3,12.3
GR000016716,5/8/1956,0,,22.8,11
GR000016716,5/9/1956,0,,23.2,13.2
GR000016716,5/10/1956,0,,23.4,14.4
GR000016716,5/11/1956,0,,21.6,12.2
GR000016716,5/12/1956,0,,21,15.6
GR000016716,5/13/1956,0,,22,15.2
GR000016716,5/14/1956,0,,21.7,12.9
GR000016716,5/15/1956,0,,22.6,16.6
GR000016716,5/16/1956,0,,22,13.4
GR000016716,5/17/1956,0,,25.2,13
GR000016716,5/18/1956,0,,22,12.6
GR000016716,5/19/1956,0,,24,13.4
GR000016716,5/20/1956,0,,24.3,14
GR000016716,5/21/1956,0,,24.8,14
GR000016716,5/22/1956,0,,25,15.2
GR000016716,5/23/1956,0,,26.4,16.8
GR000016716,5/24/1956,0,,27.2,19.8
GR000016716,5/25/1956,0,,27.3,20.6
GR000016716,5/26/1956,0,,28.6,18.4
GR000016716,5/27/1956,0,,26.8,20
GR000016716,5/28/1956,0,,24.2,15.8
GR000016716,5/29/1956,0,,28,17.8
GR000016716,5/30/1956,0,,28.2,19.5
GR000016716,5/31/1956,0,,29,21.8
GR000016716,6/1/1956,0,,24.2,17.5
GR000016716,6/2/1956,0,,25.8,20.2
GR000016716,6/3/1956,0,,26.2,17.2
GR000016716,6/4/1956,0,,25.4,17.2
GR000016716,6/5/1956,0,,26,18
GR000016716,6/6/1956,0,,26.8,15.5
GR000016716,6/7/1956,0,,27.2,17.5
GR000016716,6/8/1956,0,,25.8,17.6
GR000016716,6/9/1956,0,,28,19.2
GR000016716,6/10/1956,0,,30.2,20.2
GR000016716,6/11/1956,0,,32.9,19.2
GR000016716,6/12/1956,0,,34.6,24
GR000016716,6/13/1956,0,,34.2,25.6
GR000016716,6/14/1956,0,,36.4,22.8
GR000016716,6/15/1956,0,,31.2,21.9
GR000016716,6/16/1956,0,,31.2,22.8
GR000016716,6/17/1956,0,,32,21.4
GR000016716,6/18/1956,0,,29.2,21.8
GR000016716,6/19/1956,0,,30,20.5
GR000016716,6/20/1956,0,,27.6,21.6
GR000016716,6/21/1956,0,,28.4,21.2
GR000016716,6/22/1956,0,,27.8,20
GR000016716,6/23/1956,0,,27.4,19.6
GR000016716,6/24/1956,2.7,,24.5,16.4
GR000016716,6/25/1956,0,,26.4,17.4
GR000016716,6/26/1956,0,,28.8,17.8
GR000016716,6/27/1956,0,,30.6,20.2
GR000016716,6/28/1956,0,,28.3,21.5
GR000016716,6/29/1956,0,,28.2,19.2
GR000016716,6/30/1956,0,,31,19.1
GR000016716,7/1/1956,0,,31.9,21.6
GR000016716,7/2/1956,0,,31.6,21.6
GR000016716,7/3/1956,0,,29.6,20.6
GR000016716,7/4/1956,0,,34,20.7
GR000016716,7/5/1956,0,,31,23.2
GR000016716,7/6/1956,0,,31.2,23.4
GR000016716,7/7/1956,0,,33.6,23.2
GR000016716,7/8/1956,0,,34.2,24.2
GR000016716,7/9/1956,0,,32.6,24.8
GR000016716,7/10/1956,0,,30.4,21.4
GR000016716,7/11/1956,0,,30.3,22.4
GR000016716,7/12/1956,0,,31.6,21.8
GR000016716,7/13/1956,0,,31.4,23
GR000016716,7/14/1956,0,,32,21.2
GR000016716,7/15/1956,0,,30.2,22.4
GR000016716,7/16/1956,0,,32.4,23.4
GR000016716,7/17/1956,0,,33.2,23.8
GR000016716,7/18/1956,0,,35,26
GR000016716,7/19/1956,0,,29.2,22
GR000016716,7/20/1956,0,,29.4,21.1
GR000016716,7/21/1956,0,,37,22.5
GR000016716,7/22/1956,0,,38.2,26.4
GR000016716,7/23/1956,0,,35.6,25.8
GR000016716,7/24/1956,0,,38,25.6
GR000016716,7/25/1956,0,,34.2,26.2
GR000016716,7/26/1956,0,,30,25
GR000016716,7/27/1956,0,,31.2,21.2
GR000016716,7/28/1956,0,,32,19.4
GR000016716,7/29/1956,0,,32,21.8
GR000016716,7/30/1956,0,,35,23.8
GR000016716,7/31/1956,0,,39.2,25
GR000016716,8/1/1956,0,,39,26.6
GR000016716,8/2/1956,0,,36.4,25
GR000016716,8/3/1956,0,,31.7,23.2
GR000016716,8/4/1956,0,,32,23.2
GR000016716,8/5/1956,0,,34.2,22.2
GR000016716,8/6/1956,0,,36.3,25.9
GR000016716,8/7/1956,0,,35.5,27.2
GR000016716,8/8/1956,0,,35.8,25.5
GR000016716,8/9/1956,0,,34.9,28
GR000016716,8/10/1956,0,,32.6,25.8
GR000016716,8/11/1956,0,,34.2,24.8
GR000016716,8/12/1956,0,,30,20.4
GR000016716,8/13/1956,0,,31,22.9
GR000016716,8/14/1956,0,,33.2,23.8
GR000016716,8/15/1956,0,,33.6,23.6
GR000016716,8/16/1956,0,,33.8,19.6
GR000016716,8/17/1956,0,,34.2,24
